document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is the mother of Cathoris?,Dejah Thoris,Dejah Thoris,Who is the mother of Cathoris ?,Dejah Thoris,Dejah Thoris
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is the prince of Helium?,Carthoris,carthoris,Who is the prince of Helium ?,Carthoris,carthoris
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is the Warlord of Mars?,John Carter,john carter,Who is the Warlord of Mars ?,John Carter,john carter
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is the princess of Ptarth?,Thuvia,Thuvia,Who is the princess of Ptarth ?,Thuvia,Thuvia
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Whose craft is sabotaged?,Carthoris,carthoris,Whose craft is sabotaged ?,Carthoris,carthoris
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is blamed for Thuvias' Kidnapping?,Carthoris,Carthoris,Who is blamed for Thuvias ' Kidnapping ?,Carthoris,Carthoris
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is John Carter?,The warlord of Mars?,Warlord of Mars,Who is John Carter ?,The warlord of Mars ?,Warlord of Mars
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is Carthoris' parents?,John Carter & Dejah Thoris of Helium,John Carter and Dejah Thoris,Who is Carthoris ' parents ?,John Carter & Dejah Thoris of Helium,John Carter and Dejah Thoris
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is princess of Ptarth?,Thuvia,Thuvia,Who is princess of Ptarth ?,Thuvia,Thuvia
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is implicated in kidnapping the princess of Mars?,Carthoris,Carthorsis,Who is implicated in kidnapping the princess of Mars ?,Carthoris,Carthorsis
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who are the Lotharians?,a race of ancient martians,ancient martiians,Who are the Lotharians ?,a race of ancient martians,ancient martiians
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is Carthorius in love with?,Thuvia,Thuvia,Who is Carthorius in love with ?,Thuvia,Thuvia
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who is Thuvia promised to?,Kulan Tith,kulan tith,Who is Thuvia promised to ?,Kulan Tith,kulan tith
331adcaf22f837c92a3c9ec6cc28b5a5c9689373,test,Who kidnapped Thuvia?,the Dusar,The Dusar,Who kidnapped Thuvia ?,the Dusar,The Dusar
339a7a65cc21054c3b86fcc1b089b96ded1db7e5,train,Who wrote The Robbers?,Schiller,Schiller,Who wrote The Robbers ?,Schiller,Schiller
339a7a65cc21054c3b86fcc1b089b96ded1db7e5,train,Who are Karl and Franz Moor?,Aristocratic brothers.,Brothers,Who are Karl and Franz Moor ?,Aristocratic brothers .,Brothers
339a7a65cc21054c3b86fcc1b089b96ded1db7e5,train,Who wrote Julius of Tarent?,Johann Anton Leisewitz. ,Johann Anton Leisewitz,Who wrote Julius of Tarent ?,Johann Anton Leisewitz .,Johann Anton Leisewitz
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who is the trapper?,Natty Bumppo,Natty Bumppo.,Who is the trapper ?,Natty Bumppo,Natty Bumppo .
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who helped look for Ishmail's son?,Ishmael and his family.,his family,Who helped look for Ishmail s son ?,Ishmael and his family .,his family
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who was held Inez captive?,Abiram and Ishmael.,Abiram and Ishmael,Who was held Inez captive ?,Abiram and Ishmael .,Abiram and Ishmael
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who killed Asa?,Abiram.,Abiram.,Who killed Asa ?,Abiram .,Abiram .
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who buried the trapper?,Middleton and Paul.,Middleton and Paul,Who buried the trapper ?,Middleton and Paul .,Middleton and Paul
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who wants to take Inez and Ellen as wives? ,Mahatoree,Mahtoree,Who wants to take Inez and Ellen as wives ?,Mahatoree,Mahtoree
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who steals Ishmaels's animals?,The Teton warriors,the Teton warriors,Who steals Ishmaels s animals ?,The Teton warriors,the Teton warriors
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who is intended to become wives of the Teton warriors?,Ellen and Inez,Inez and Ellen,Who is intended to become wives of the Teton warriors ?,Ellen and Inez,Inez and Ellen
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who was Asa's murderer?,Abiram,Ishmael and his family,Who was Asa s murderer ?,Abiram,Ishmael and his family
33beeecef8e727e7cf85f29acb4db7e3cc683c95,train,Who forms alliance with the Indians?,Ishmael,Ishmael,Who forms alliance with the Indians ?,Ishmael,Ishmael
33d7b5c04cc6220def312952b53737f1173a5936,test,Who does Lothair favor?,The Church of England.,Lady Corisande,Who does Lothair favor ?,The Church of England .,Lady Corisande
33d7b5c04cc6220def312952b53737f1173a5936,test,Who tries to turn Lothair into a Catholic?,Cardinal Grandison and Mgr Catesby.,Cardinal Gradison.,Who tries to turn Lothair into a Catholic ?,Cardinal Grandison and Mgr Catesby .,Cardinal Gradison .
33d7b5c04cc6220def312952b53737f1173a5936,test,Who raised Lothair?,Both Lord Culloden and Cardinal Grandison.,"Lord Culloden, his uncle, and Cardinal Grandison",Who raised Lothair ?,Both Lord Culloden and Cardinal Grandison .,"Lord Culloden , his uncle , and Cardinal Grandison"
33d7b5c04cc6220def312952b53737f1173a5936,test,Who saved Lothair according to Clare?,The Virgin Mary.,The Virgin Mary ,Who saved Lothair according to Clare ?,The Virgin Mary .,The Virgin Mary
33d7b5c04cc6220def312952b53737f1173a5936,test,Who raised Lothair?,His uncle,"his Presbyterian uncle Lord Culloden, and Cardinal Grandison",Who raised Lothair ?,His uncle,"his Presbyterian uncle Lord Culloden , and Cardinal Grandison"
33d7b5c04cc6220def312952b53737f1173a5936,test,Who does Lothair unsuccessfully propose to?,Lady Corisande,Lady Corisande,Who does Lothair unsuccessfully propose to ?,Lady Corisande,Lady Corisande
33d7b5c04cc6220def312952b53737f1173a5936,test,Who does Lothair join in Italy?,Theodora,Theodora,Who does Lothair join in Italy ?,Theodora,Theodora
33d7b5c04cc6220def312952b53737f1173a5936,test,Who does Clare Arundel try to convince Lothair saved him at the Battle of Mentana?,"Clare tries to convince him the Virgin Mary, as an apparition, saved him.",An apparition of the Virgin Mary ,Who does Clare Arundel try to convince Lothair saved him at the Battle of Mentana ?,"Clare tries to convince him the Virgin Mary , as an apparition , saved him .",An apparition of the Virgin Mary
33d7b5c04cc6220def312952b53737f1173a5936,test,Who takes Lothair to Syria?,Mr. Phoebus,Mr. Phoebus ,Who takes Lothair to Syria ?,Mr. Phoebus,Mr. Phoebus
33d7b5c04cc6220def312952b53737f1173a5936,test,Who is killed at Viterbo?,Theodora Campion,Theodora,Who is killed at Viterbo ?,Theodora Campion,Theodora
33e2da2b7d2b57cad0fa960b31444c14afeb2056,train,Who was the letters written by?,A friend.,a friend,Who was the letters written by ?,A friend .,a friend
33e2da2b7d2b57cad0fa960b31444c14afeb2056,train,Who got arrested by the officer?,Tartuffe.,Tartuffe.,Who got arrested by the officer ?,Tartuffe .,Tartuffe .
33e2da2b7d2b57cad0fa960b31444c14afeb2056,train,Who is Orgon's son who catches Tartuffe with Elmire?,Damis,Damis.,Who is Orgon s son who catches Tartuffe with Elmire ?,Damis,Damis .
33e2da2b7d2b57cad0fa960b31444c14afeb2056,train,Who delivers the new that the family must vacate the house?,Monsieur Loyal,Monsieur Loyal,Who delivers the new that the family must vacate the house ?,Monsieur Loyal,Monsieur Loyal
33e2da2b7d2b57cad0fa960b31444c14afeb2056,train,Who was Mariane engaged to before?,Valere.,Valere,Who was Mariane engaged to before ?,Valere .,Valere
33e2da2b7d2b57cad0fa960b31444c14afeb2056,train,Who tells Orgon that Tartuffle is accusing him of a crime?,Valere.,Valere.,Who tells Orgon that Tartuffle is accusing him of a crime ?,Valere .,Valere .
33e2da2b7d2b57cad0fa960b31444c14afeb2056,train,Who tells Orgon and his family they have to move?,Monsieur Loyal.,Tartuffle,Who tells Orgon and his family they have to move ?,Monsieur Loyal .,Tartuffle
33e2da2b7d2b57cad0fa960b31444c14afeb2056,train,Who was arrested when Orgon decides to run away?,Tartuttle.,Tartuffe.,Who was arrested when Orgon decides to run away ?,Tartuttle .,Tartuffe .
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who does Dudley accidentally kill instead of Maud?,He kills Madame de la Rougierre.,madame de la rougierre,Who does Dudley accidentally kill instead of Maud ?,He kills Madame de la Rougierre .,madame de la rougierre
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who is Maud's best friend at Bartram-Haugh?,Silas's daughter Millicent.,milly,Who is Maud s best friend at Bartram-Haugh ?,Silas s daughter Millicent .,milly
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who helps Maud escape after Madame de la Rougierre is killed?,Dickon Hawkes' daughter helps Maud escape.,Dickon Hawke's daughter. ,Who helps Maud escape after Madame de la Rougierre is killed ?,Dickon Hawkes ' daughter helps Maud escape .,Dickon Hawke s daughter .
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who makes several attempts to court Maud?,Dudley tries to court Maud.,dudley,Who makes several attempts to court Maud ?,Dudley tries to court Maud .,dudley
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who does Maud marry at the end of the story?,She marries Lord Ilbury.,Lord Ilbury,Who does Maud marry at the end of the story ?,She marries Lord Ilbury .,Lord Ilbury
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who hired the governess Madame de la Rougierre as a companion for Maud?,Her father. ,mauds father ,Who hired the governess Madame de la Rougierre as a companion for Maud ?,Her father .,mauds father
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who is Austin to Maud?,Her father.,her father,Who is Austin to Maud ?,Her father .,her father
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who does Maud have to spend the rest of her childhood with after her father dies?,With her uncle Silas.,uncle silas,Who does Maud have to spend the rest of her childhood with after her father dies ?,With her uncle Silas .,uncle silas
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who does Silas send away to boarding school?,Millicent,milly,Who does Silas send away to boarding school ?,Millicent,milly
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who murders Madame de la Rougierre by mistake?,Dudley,Dudley,Who murders Madame de la Rougierre by mistake ?,Dudley,Dudley
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who enters the room during the murder allowing Maud to quietly escape?,Silas.,uncle silas ,Who enters the room during the murder allowing Maud to quietly escape ?,Silas .,uncle silas
344cddeff8cb90fe176ea9809fd8d3169a7dba34,test,Who does Maud eventually marry?,Lord Ilbury.,Lord Ilbury.,Who does Maud eventually marry ?,Lord Ilbury .,Lord Ilbury .
34908951494645a49e708b68ff7cf2bb212da78e,train,Who discovered the manuscript?,Llewellyn Drury found it.,Whoever is I am the man,Who discovered the manuscript ?,Llewellyn Drury found it .,Whoever is I am the man
34908951494645a49e708b68ff7cf2bb212da78e,train,Who wrote the manuscript that Lloyd finds?,Llewellyn Drury,Llewellyn Drury,Who wrote the manuscript that Lloyd finds ?,Llewellyn Drury,Llewellyn Drury
34908951494645a49e708b68ff7cf2bb212da78e,train,Who does Drury meet at the beginning of the story?,I-Am-The-Man,"""I am the man""",Who does Drury meet at the beginning of the story ?,I-Am-The-Man,I am the man
34908951494645a49e708b68ff7cf2bb212da78e,train,Who leads the I-Am-Man through the cavern?,Cave Dweller,cavern dweller,Who leads the I-Am-Man through the cavern ?,Cave Dweller,cavern dweller
34908951494645a49e708b68ff7cf2bb212da78e,train,Who wrote the manuscript Lloyd disvocers?,Llewellyn Drury,Llewellyn Drury,Who wrote the manuscript Lloyd disvocers ?,Llewellyn Drury,Llewellyn Drury
34d16136feb3eba74060953631414400f9a3cb20,train,Who does Edward first speak to about his religious discontent?,Lady Sunderbund,Lady Sunderbund,Who does Edward first speak to about his religious discontent ?,Lady Sunderbund,Lady Sunderbund
34d16136feb3eba74060953631414400f9a3cb20,train,Who is Edward Scrope?,Lord Bishop of Princhester,Lord Bishop of Princhester.,Who is Edward Scrope ?,Lord Bishop of Princhester,Lord Bishop of Princhester .
34d16136feb3eba74060953631414400f9a3cb20,train,Who is the first person that Edward tells about his unhappiness with religion?,"Lady Sunderbund, a very rich American widow",Lady Sunderbund,Who is the first person that Edward tells about his unhappiness with religion ?,"Lady Sunderbund , a very rich American widow",Lady Sunderbund
34d16136feb3eba74060953631414400f9a3cb20,train,Who does Edward keep all of these revelations from?,"his wife, Lady Ella and his daughters",Lady Ella,Who does Edward keep all of these revelations from ?,"his wife , Lady Ella and his daughters",Lady Ella
34d16136feb3eba74060953631414400f9a3cb20,train,Who wants to offer all of their wealth to help Edward build his new church?,Lady Sunderbund,Lady Sunderbund,Who wants to offer all of their wealth to help Edward build his new church ?,Lady Sunderbund,Lady Sunderbund
34d16136feb3eba74060953631414400f9a3cb20,train,Who is the Lord Bishop of Princhester?,Edward Scrope.,Edward Scrope,Who is the Lord Bishop of Princhester ?,Edward Scrope .,Edward Scrope
34d16136feb3eba74060953631414400f9a3cb20,train,Whom does Edward experience a vision of in the North Library of the Athenaeum Club?,God,The Angel of God and God.,Whom does Edward experience a vision of in the North Library of the Athenaeum Club ?,God,The Angel of God and God .
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who invented the Iron Mole?,Abner Perry,Abner Perry ,Who invented the Iron Mole ?,Abner Perry,Abner Perry
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who is David's captive?,A reptilian Mahar,A Mahar,Who is David s captive ?,A reptilian Mahar,A Mahar
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who has taken David's love interest Dian? ,Hooja,the Mahars,Who has taken David s love interest Dian ?,Hooja,the Mahars
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who invented the iron Mole?,"David's friend, Abner Perry.",Abner Perry,Who invented the iron Mole ?,"David s friend , Abner Perry .",Abner Perry
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who was David looking for in Greenwich?,"His lost companions, Abner, Ghak and Dian.","his lost companions ; Abner, Ghak, and Dian the beautiful",Who was David looking for in Greenwich ?,"His lost companions , Abner , Ghak and Dian .","his lost companions ; Abner , Ghak , and Dian the beautiful"
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who helped David succeed in building a confederacy of human tribes?,Abner.,Abner,Who helped David succeed in building a confederacy of human tribes ?,Abner .,Abner
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who is David's companion?,Abner,Abner Perry,Who is David s companion ?,Abner,Abner Perry
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who is David's love?,Dian,Dian,Who is David s love ?,Dian,Dian
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who does David find as a new ally?,Ja the Mezop,Ja the Mezop,Who does David find as a new ally ?,Ja the Mezop,Ja the Mezop
350c0f8265c2d1183fd9a7e2a92c748998ac8775,test,Who is the antagonist?,Hooja the Sly One,Hooja the Sly One,Who is the antagonist ?,Hooja the Sly One,Hooja the Sly One
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who was Sir Henry Lee accompanied by?,his daughter,His daughter Alice,Who was Sir Henry Lee accompanied by ?,his daughter,His daughter Alice
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who was the captain disguised as? ,A roundhead,A Roundhead.,Who was the captain disguised as ?,A roundhead,A Roundhead .
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who did the captain have an interview with?,Oliver Cormwell,Oliver Cromwell.,Who did the captain have an interview with ?,Oliver Cormwell,Oliver Cromwell .
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who is George Monck?,Governor of Scottland,Governor of Scotland,Who is George Monck ?,Governor of Scottland,Governor of Scotland
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who was Everard made prisoner by?,Cormwell,Oliver Cromwell. ,Who was Everard made prisoner by ?,Cormwell,Oliver Cromwell .
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Whod id Sir Henry meet on his way to the lodge?,Captain Wildrake.,Cromwell,Whod id Sir Henry meet on his way to the lodge ?,Captain Wildrake .,Cromwell
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Whose voice did everard hear in the dark gallery?,His cousins voice.,His cousin's,Whose voice did everard hear in the dark gallery ?,His cousins voice .,His cousin s
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Whose reflection did Holdenough see in the mirror?,A college friend who had drowned.,A college friend that had drowned.,Whose reflection did Holdenough see in the mirror ?,A college friend who had drowned .,A college friend that had drowned .
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who was Louis Kerneguy introduced as?,Alberts Scotch page.,Albert's Scotch page,Who was Louis Kerneguy introduced as ?,Alberts Scotch page .,Albert s Scotch page
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who was Spitfire?,Wildrakes page.,Wildrake page,Who was Spitfire ?,Wildrakes page .,Wildrake page
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who did Alice marry?,Everard.,Colonel Everard. ,Who did Alice marry ?,Everard .,Colonel Everard .
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who is the Captain disguised as when he reaches Windsor?,A Roundhead,as a Roundhead,Who is the Captain disguised as when he reaches Windsor ?,A Roundhead,as a Roundhead
3513ebaa62106c8e80a0c9723eb456f28950adb8,valid,Who orders Everard to change his quarters?,An apparition,An apparition orders Everard to change his quarters.,Who orders Everard to change his quarters ?,An apparition,An apparition orders Everard to change his quarters .
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who do the Glendenning boys fall in love with?,Mary Avenel,Mary Avennel,Who do the Glendenning boys fall in love with ?,Mary Avenel,Mary Avennel
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who surrendered to Father Eustace?,Sir Piercie,Sir Piercie,Who surrendered to Father Eustace ?,Sir Piercie,Sir Piercie
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who threatens the monastries?,Protestants ,Protestant Barons and other heretical marauders. ,Who threatens the monastries ?,Protestants,Protestant Barons and other heretical marauders .
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who won the battle?,Sir John,Sir John,Who won the battle ?,Sir John,Sir John
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who is said to have taken the Bible from Father Phillip?,The White Lady,A spectral White Lady. ,Who is said to have taken the Bible from Father Phillip ?,The White Lady,A spectral White Lady .
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who helped the knight escape?,Mysie,Mysie,Who helped the knight escape ?,Mysie,Mysie
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who takes office after the after the lord abbot resigns?,The sub-prior,Edward,Who takes office after the after the lord abbot resigns ?,The sub-prior,Edward
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who did the Glendinning boys fall in love with?,Mary Avenel.,Mary Avennel,Who did the Glendinning boys fall in love with ?,Mary Avenel .,Mary Avennel
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who took the bible from the Father Philip?,The spectral white lady.,The White Lady,Who took the bible from the Father Philip ?,The spectral white lady .,The White Lady
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who assists Sir Piercie to escape?,Mysie.,Halbert,Who assists Sir Piercie to escape ?,Mysie .,Halbert
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who commanded the squadron that Halbert joins?,The Earl of Murray.,Earl of Murray,Who commanded the squadron that Halbert joins ?,The Earl of Murray .,Earl of Murray
3620f82c20f8fbccf5690bb0539c6c61147a3da1,train,Who allowed the monks to retain their monastery and  land?,Henry Warden.,Henry Warden,Who allowed the monks to retain their monastery and land ?,Henry Warden .,Henry Warden
36aeff55596623a6b66445379010c2a762ef920f,train,Who is Larsan's alter-ego?,Ballmeyer,Ballmeyer,Who is Larsan s alter-ego ?,Ballmeyer,Ballmeyer
36aeff55596623a6b66445379010c2a762ef920f,train,Who secretly married Ms Stangerson in the United States?,Ballmeyer,Robert Darzac,Who secretly married Ms Stangerson in the United States ?,Ballmeyer,Robert Darzac
36aeff55596623a6b66445379010c2a762ef920f,train,Who was originally charged with the attempted murder of Ms Stangerson?,Darzac,dazac,Who was originally charged with the attempted murder of Ms Stangerson ?,Darzac,dazac
36aeff55596623a6b66445379010c2a762ef920f,train,Who is Darzac in relationship to Ms Stangerson?,He is her fiance,Fiance,Who is Darzac in relationship to Ms Stangerson ?,He is her fiance,Fiance
36aeff55596623a6b66445379010c2a762ef920f,train,Who appears at Darzac's trial and tells the court that the true culprit is Larsan?,Rouletabille,Rouletabille,Who appears at Darzac s trial and tells the court that the true culprit is Larsan ?,Rouletabille,Rouletabille
36aeff55596623a6b66445379010c2a762ef920f,train,Who is the main character in the story?,Rouletabille,Joseph Rouletabille,Who is the main character in the story ?,Rouletabille,Joseph Rouletabille
36aeff55596623a6b66445379010c2a762ef920f,train,Who is Ballmeyer's alter-ego?,Detective Larson,Frederic Larsan,Who is Ballmeyer s alter-ego ?,Detective Larson,Frederic Larsan
36aeff55596623a6b66445379010c2a762ef920f,train,Who is murdered during the second attempt on Mathilde's life?,the game-keeper,Games keeper ,Who is murdered during the second attempt on Mathilde s life ?,the game-keeper,Games keeper
36aeff55596623a6b66445379010c2a762ef920f,train,Who does Joseph Rouletabille take with him to investigate the castle?,Sainclair,Sainclair,Who does Joseph Rouletabille take with him to investigate the castle ?,Sainclair,Sainclair
36aeff55596623a6b66445379010c2a762ef920f,train,Whose daughter was found nearly critically injured?,Professor Joseph Stangerson,Professor Joseph Stangerson,Whose daughter was found nearly critically injured ?,Professor Joseph Stangerson,Professor Joseph Stangerson
36aeff55596623a6b66445379010c2a762ef920f,train,Who was assigned to work the case with Rouletabille?,Frederic Larson,Josheph,Who was assigned to work the case with Rouletabille ?,Frederic Larson,Josheph
36aeff55596623a6b66445379010c2a762ef920f,train,Who offers no useful testimony after being battered?,Mathilde Stengerson,ms stangerson,Who offers no useful testimony after being battered ?,Mathilde Stengerson,ms stangerson
36aeff55596623a6b66445379010c2a762ef920f,train,Who does Larson suspect hurt Mathilde?,Robert Darzac,Robert Darzac,Who does Larson suspect hurt Mathilde ?,Robert Darzac,Robert Darzac
36aeff55596623a6b66445379010c2a762ef920f,train,Who is charged with attempted murder?,Robert Darzac,Ballmeyer,Who is charged with attempted murder ?,Robert Darzac,Ballmeyer
36ed923f4e2c148dc5dc3570efaf847163619091,train,Who does Gilbert fall in love with? ,Tatiana,Tatiana,Who does Gilbert fall in love with ?,Tatiana,Tatiana
36ed923f4e2c148dc5dc3570efaf847163619091,train,Who does Gilbert think is trying to kidnap Tatiana? ,Mifflin,Mifflin,Who does Gilbert think is trying to kidnap Tatiana ?,Mifflin,Mifflin
36ed923f4e2c148dc5dc3570efaf847163619091,train,Who was killed in the bookstore bombing?,The pharmacists partner and Mr. Mifflin's dog.,The assistant chef from Octagon Hotel,Who was killed in the bookstore bombing ?,The pharmacists partner and Mr. Mifflin s dog .,The assistant chef from Octagon Hotel
36ed923f4e2c148dc5dc3570efaf847163619091,train,Who does Gilbert fall in love with?,Titania,Titania,Who does Gilbert fall in love with ?,Titania,Titania
36ed923f4e2c148dc5dc3570efaf847163619091,train,Who was the pharmacist captured by?,Police,Police,Who was the pharmacist captured by ?,Police,Police
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who is persuaded by whom to kill Claudius?,Mercury persuades Clotho.,Mercury persuades Clotho.,Who is persuaded by whom to kill Claudius ?,Mercury persuades Clotho .,Mercury persuades Clotho .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who greets Claudius in hell and what do they do?,Ghosts of his friends who he murdered greet him and carry him off to be punished.,Murdered friends and they carry him off for his punishment,Who greets Claudius in hell and what do they do ?,Ghosts of his friends who he murdered greet him and carry him off to be punished .,Murdered friends and they carry him off for his punishment
36f289475bb4ac89b368e999a9e911affcd070bf,train,"Who shows up in hell and claims Claudius to be an ex-slave, and to what job does he reassign Claudius?",Caligula claims him and turns him over to be a law clerk in the underworld court.,Caligula does and makes him a law clerk in Hades.,"Who shows up in hell and claims Claudius to be an ex-slave , and to what job does he reassign Claudius ?",Caligula claims him and turns him over to be a law clerk in the underworld court .,Caligula does and makes him a law clerk in Hades .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who speaks against Claudius at the session?,Augustus.,Augustus.,Who speaks against Claudius at the session ?,Augustus .,Augustus .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who escorts Claudius to Hades?,"Mercury,",Mercury,Who escorts Claudius to Hades ?,"Mercury,",Mercury
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who greets Claudius when he arrives in Hades?,Ghost of the friends he's murdered.,The ghosts of the friends he's murdered.,Who greets Claudius when he arrives in Hades ?,Ghost of the friends he s murdered .,The ghosts of the friends he s murdered .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who mocks the emperors failings? ,Seneca.,Seneca.,Who mocks the emperors failings ?,Seneca .,Seneca .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who does Caligula claim Claudius to be?,His ex slave.,His ex slave,Who does Caligula claim Claudius to be ?,His ex slave .,His ex slave
36f289475bb4ac89b368e999a9e911affcd070bf,train,Whose death is being traced?,Claudius,Claudius.,Whose death is being traced ?,Claudius,Claudius .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who carries off claudius?,the ghosts?,Ghosts of all of the friends Claudius murdered.,Who carries off claudius ?,the ghosts ?,Ghosts of all of the friends Claudius murdered .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who delivers the speech?,Augustus,Augustus.,Who delivers the speech ?,Augustus,Augustus .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who does seneca Mock?,The emperor,"the late emperor, Claudius",Who does seneca Mock ?,The emperor,"the late emperor , Claudius"
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who were the proceedings initially in favor of?,Claudius,Claudius.,Who were the proceedings initially in favor of ?,Claudius,Claudius .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who mocks Claudius throughout the drama?,Seneca.,Seneca mocks Claudius.,Who mocks Claudius throughout the drama ?,Seneca .,Seneca mocks Claudius .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who escorts Claudius to Hades?,Mercury.,Mercury,Who escorts Claudius to Hades ?,Mercury .,Mercury
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who does Mercury convince to kill the emperor?,Clotho.,Clotho.,Who does Mercury convince to kill the emperor ?,Clotho .,Clotho .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who allows Claudius to gain an audience with the gods for vindication?,Hercules,Hercules.,Who allows Claudius to gain an audience with the gods for vindication ?,Hercules,Hercules .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who ruins Claudius' defense with a list of Claudius' crimes?,Augustus.,Augustus.,Who ruins Claudius ' defense with a list of Claudius ' crimes ?,Augustus .,Augustus .
36f289475bb4ac89b368e999a9e911affcd070bf,train,Who greets Claudius upon arrival in Hades?,The ghosts of friends Claudius has murdered.,Ghosts of the friends he has murdered,Who greets Claudius upon arrival in Hades ?,The ghosts of friends Claudius has murdered .,Ghosts of the friends he has murdered
37aa5b62014dc2e1e6f7202fed40f51c34dd680d,train,Who is Roland supposed to be guarding? ,Mary Stuart,Mary Stuart,Who is Roland supposed to be guarding ?,Mary Stuart,Mary Stuart
